listing_id,host_id,property_type,room_type,city,country,accommodates,bedrooms,bathrooms,price_per_night,created_at
1,150,House,Entire home,West Lisafort,Malta,3,1,2,84,15:54.0
2,91,Apartment,Private room,North Cherylberg,Western Sahara,1,2,3,140,15:54.0
3,65,Condo,Entire home,Whitneyfort,Martinique,1,4,3,215,15:54.0
4,48,Condo,Entire home,New Crystal,Argentina,1,2,1,165,15:54.0
5,63,Apartment,Private room,Churchmouth,Maldives,5,2,3,136,15:54.0
6,109,Apartment,Private room,Port Juan,Italy,2,3,2,209,15:54.0
7,18,House,Private room,Christinaborough,Svalbard & Jan Mayen Islands,1,1,1,102,15:54.0
8,139,Condo,Private room,Lake Jennaberg,Costa Rica,6,4,3,104,15:54.0
9,135,Apartment,Entire home,South Samanthaside,Poland,1,2,3,55,15:54.0
10,131,Apartment,Entire home,Carlsonside,Saudi Arabia,4,3,1,231,15:54.0
11,15,House,Entire home,North Micheal,Uruguay,1,4,3,216,15:54.0
12,54,Condo,Private room,New Maurice,United States Virgin Islands,3,1,1,253,15:54.0
13,121,Condo,Private room,Carlsonfort,Czech Republic,6,3,1,197,15:54.0
14,95,Condo,Private room,Johnsonborough,Albania,2,3,2,130,15:54.0
15,71,House,Entire home,Lake Nicholasborough,New Zealand,3,3,1,102,15:54.0
16,107,Condo,Private room,Jamesfurt,San Marino,6,1,3,160,15:54.0
17,64,House,Private room,Port Dustinhaven,Pakistan,3,2,3,78,15:54.0
18,29,Apartment,Private room,Breannaport,South Africa,3,4,3,92,15:54.0
19,21,Apartment,Entire home,Austinton,Latvia,6,4,2,70,15:54.0
20,3,Condo,Entire home,East Sarahview,Ukraine,5,4,1,204,15:54.0
21,144,House,Entire home,Jamesview,Norfolk Island,5,4,1,204,15:54.0
22,172,Apartment,Entire home,Davilahaven,Saint Lucia,2,4,3,80,15:54.0
23,146,Condo,Entire home,North Kristen,Aruba,1,1,3,92,15:54.0
24,43,House,Private room,East Loriland,Wallis and Futuna,3,2,2,77,15:54.0
25,180,Apartment,Private room,Leonbury,Malta,6,4,3,153,15:54.0
26,54,House,Private room,New Gracefurt,Slovakia (Slovak Republic),2,4,1,204,15:54.0
27,7,Apartment,Private room,New Brianberg,Maldives,3,1,2,142,15:54.0
28,186,House,Entire home,Fraziertown,Indonesia,4,3,3,92,15:54.0
29,122,Apartment,Entire home,Beverlyton,Sweden,2,1,3,244,15:54.0
30,53,Apartment,Entire home,Josephville,Vanuatu,3,4,2,132,15:54.0
31,13,Apartment,Entire home,Lake Brian,Iran,6,2,2,290,15:54.0
32,23,House,Entire home,Eatonfort,United Arab Emirates,4,1,1,157,15:54.0
33,118,House,Entire home,New Amandahaven,Uganda,4,3,3,108,15:54.0
34,184,Apartment,Entire home,Jordanview,Andorra,4,4,2,251,15:54.0
35,94,House,Entire home,South Ryanstad,Tuvalu,4,3,2,135,15:54.0
36,190,Apartment,Entire home,Smithtown,Mongolia,4,4,3,235,15:54.0
37,139,Apartment,Entire home,Downsbury,Azerbaijan,2,1,2,108,15:54.0
38,192,Apartment,Entire home,Lake Courtney,China,3,3,3,195,15:54.0
39,139,House,Entire home,Lake Christopher,Aruba,3,4,2,198,15:54.0
